Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Цвет;Characteristics:Размер;Characteristics:Состав;Weight;Length;Width;Height
2,52964E+11;;;;"Брюки и шорты;Рубчик";Шорты на резинке;Шорты на резинке;;https://static.tildacdn.com/stor3266-3435-4636-b930-633635613931/20471579.jpg;;;;;;cc4aa34b-ffae-11ed-bc99-18037346542a;;голубой;XS/S (40-42);95% полиэстер, 5% эластан;0;0;0;0
5,81562E+11;;RE-SHST-B-03;;;Шорты на резинке / XS-S- XS-S;;;;4290.00;6;;Размеры:XS-S;;ESkXKradp2PIzA0zLPFl;2,52964E+11;;;;0;0;0;0
9,96185E+11;;RE-SHST-B-04;;;Шорты на резинке / M-L- M-L;;;;4290.00;2;;Размеры:M-L;;altrK36FhAKUig44meTS;2,52964E+11;;;;0;0;0;0
9,21675E+11;;;;"Топы и футболки;Рубчик";Топ рубчик;Топ рубчик;;https://static.tildacdn.com/stor3739-3033-4665-b134-653061636131/70686507.jpg;;;;;;0f8269cc-02b1-11ee-bc99-18037346542a;;голубой;"XS/S (40-42); M/L (44-46)";95% полиэстер, 5% эластан;0;0;0;0
1,44425E+11;;RE-TST-B-01;;;Топ рубчик / XS/S (40-42)- XS/S (40-42);;;;4490.00;3;;Размеры:XS/S (40-42);;JX8I1r2bkoyDiyenRJU4;9,21675E+11;;;;0;0;0;0
7,87043E+11;;RE-TST-B-02;;;Топ рубчик / M/L (44-46)- M/L (44-46);;;;4490.00;2;;Размеры:M/L (44-46);;HHXAAhniAZtRZ1JxnHAG;9,21675E+11;;;;0;0;0;0
6,0608E+11;;;;Комбинезоны;Ромпер;;;https://static.tildacdn.com/stor3566-6630-4562-b064-336564336432/41918402.jpg;;;;;;1DJUC7thudUIvFo2B5Zd;;черный;;82% нейлон, 18% спандекс;0;0;0;0
1,80072E+11;;RE-RO-BL-01;;;Ромпер / XS-S- XS-S;;;;7990.00;1;;Размеры:XS-S;;jAxn2XbAt5eYSaz4ysKa;6,0608E+11;;;;0;0;0;0
5,91473E+11;;RE-RO-BL-02;;;Ромпер / M-L- M-L;;;;7990.00;0;;Размеры:M-L;;irRzRfUOtTD59IbJRoTI;6,0608E+11;;;;0;0;0;0
1,87657E+11;;;;Комбинезоны;Комбинезон темно-синий горох;;;https://static.tildacdn.com/stor6366-3163-4636-b665-653062383430/44760527.jpg;;;;;;cgKzjkNKHjKeECsxZZrE;;темно-синий;;96% полиэстер, 4% спандекс;0;0;0;0
8,55338E+11;;RE-OV-B-02;;;Комбинезон темно-синий горох / S- S;;;;11790.00;2;;Размеры:S;;DJ6JGz7744URJgiVcAda;1,87657E+11;;;;0;0;0;0
5,08873E+11;;RE-OV-DB-03;;;Комбинезон темно-синий горох / M- M;;;;11790.00;2;;Размеры:M;;G2idHlpb9cKXnpNLLH8B;1,87657E+11;;;;0;0;0;0
7,96925E+11;;;;Комбинезоны;Комбинезон красный горох;;;https://static.tildacdn.com/stor3539-3132-4266-a239-633465343630/51766332.jpg;;;;;;yI8xujocZ9jxHfaA8yXT;;красный;;96% полиэстер, 4% спандекс;0;0;0;0
9,18684E+11;;RE-OV-R-02;;;Комбинезон красный горох / S- S;;;;11790.00;3;;Размеры:S;;3dNU8kiLyuyT9RSPgsmL;7,96925E+11;;;;0;0;0;0
5,132E+11;;RE-OV-R-03;;;Комбинезон красный горох / M- M;;;;11790.00;1;;Размеры:M;;JCDsEssuM7yGv9PNhaCd;7,96925E+11;;;;0;0;0;0
2,48568E+11;;;;Комбинезоны;Комбинезон коричневый горох;;;https://static.tildacdn.com/stor3165-6561-4535-b638-636331656537/76204852.jpg;;;;;;6NeKCJM3oTiHBTYUcF8D;;коричневый;;96% полиэстер, 4% спандекс;0;0;0;0
2,62638E+11;;RE-OV-BR-02;;;Комбинезон коричневый горох / S- S;;;;11790.00;4;;Размеры:S;;fiiupj3h5SoO4YVobkeb;2,48568E+11;;;;0;0;0;0
5,92426E+11;;RE-OV-BR-03;;;Комбинезон коричневый горох / M- M;;;;11790.00;3;;Размеры:M;;PXNzyRFFg37pnnZcbMfk;2,48568E+11;;;;0;0;0;0
6,68771E+11;;;;Комбинезоны;Комбинезон темно-зеленый горох;;;https://static.tildacdn.com/stor3562-6539-4034-b464-616536386138/65662344.jpg;;;;;;V5esAvuNOAHNilYPbX4a;;темно-зеленый;;96% полиэстер, 4% спандекс;0;0;0;0
1,57046E+11;;RE-OV-DG-02;;;Комбинезон темно-зеленый горох / S- S;;;;11790.00;4;;Размеры:S;;fg0EEYkrKSoK9IhfDkPI;6,68771E+11;;;;0;0;0;0
6,86881E+11;;RE-OV-DG-03;;;Комбинезон темно-зеленый горох / M- M;;;;11790.00;1;;Размеры:M;;JzAOEI2vlIoHrzHL7MI3;6,68771E+11;;;;0;0;0;0
1,60865E+11;;;;Комбинезоны;Ромпер;;;https://static.tildacdn.com/stor6531-3631-4563-a461-663037663863/84474272.jpg;;;;;;iXyuaXduSeluXxrXabu7;;синий;;82% нейлон, 18% спандекс;0;0;0;0
1,0384E+11;;RE-RO-BLU-01;;;Ромпер / XS-S- XS-S;;;;7990.00;1;;Размеры:XS-S;;gXucVbz00G3rV6D5BPb3;1,60865E+11;;;;0;0;0;0
2,65056E+11;;RE-RO-BLU-02;;;Ромпер / M-L- M-L;;;;7990.00;2;;Размеры:M-L;;fo7spEfzSeuVKjtYGkgO;1,60865E+11;;;;0;0;0;0
